时间,震级,地点,前半段深度TSE,后半段深度TSE,深度变化,前半段震级TSE,后半段震级TSE,震级变化,前震数量
2013-10-25 17:10:19.710000,7.1,"off the east coast of Honshu, Japan",1.4564,1.4892,-0.0327,1.4973,1.4973,0.0000,10
2013-10-15 00:12:32.050000,7.1,"4 km SE of Sagbayan, Philippines",1.4981,1.4945,0.0036,1.4698,1.4945,-0.0247,13
2013-09-25 16:42:43.170000,7.1,"16 km WSW of Atiquipa, Peru",1.5000,1.4892,0.0108,1.4892,1.4564,0.0327,10
2013-09-24 11:29:47.970000,7.7,"113 km NW of Bela, Pakistan",1.4981,1.4925,0.0056,1.4925,1.5000,-0.0075,12
2013-08-30 16:25:02.300000,7.0,"101 km SW of Atka, Alaska",1.4973,1.4830,0.0142,1.4973,1.4981,-0.0008,11
2013-07-15 14:03:39.880000,7.3,South Sandwich Islands region,1.4981,1.5000,-0.0019,1.4981,1.4981,0.0000,12
2013-07-07 18:35:30.740000,7.3,"190 km ENE of Kokopo, Papua New Guinea",1.4830,1.4981,-0.0151,1.5000,1.4981,0.0019,12
2013-05-24 05:44:48.980000,8.3,2013 Sea of Okhotsk Earthquake,1.5000,1.4973,0.0027,1.4830,1.4892,-0.0061,9
2013-05-23 17:19:04.750000,7.4,"292 km SW of Vaini, Tonga",1.4892,1.5000,-0.0108,1.4973,1.4981,-0.0008,11
2013-04-19 03:05:52.650000,7.2,"252 km ENE of Kuril’sk, Russia",1.4892,1.4973,-0.0081,1.4317,1.4756,-0.0439,10
2013-04-16 10:44:20.180000,7.7,"79 km ESE of Kh?sh, Iran",1.5000,1.4925,0.0075,1.4973,1.5000,-0.0027,11
2013-04-06 04:42:35.860000,7.0,"260 km WSW of Abepura, Indonesia",1.4778,1.5000,-0.0222,1.4986,1.4989,-0.0003,15
2013-02-08 15:26:38.470000,7.1,"32 km SE of Lata, Solomon Islands",1.4756,1.4830,-0.0075,1.4892,1.4830,0.0061,11
2013-02-06 01:54:14.610000,7.0,"33 km NW of Lata, Solomon Islands",1.5000,1.4778,0.0222,1.4925,1.4778,0.0146,13
2013-02-06 01:23:19.760000,7.1,"112 km WSW of Lata, Solomon Islands",1.5000,1.5000,0.0000,1.4892,1.4981,-0.0090,11
2013-02-06 01:12:25.830000,8.0,2013 Santa Cruz Islands Earthquake,1.4830,1.4698,0.0132,1.4317,1.4698,-0.0382,12
2013-01-05 08:58:14.957000,7.5,"110 km SW of Edna Bay, Alaska",1.5000,1.4973,0.0027,1.4973,1.4892,0.0081,10
2012-12-10 16:53:08.770000,7.1,Banda Sea,1.4981,1.4698,0.0283,1.4925,1.5000,-0.0075,12
2012-12-07 08:18:23.130000,7.3,"234 km SE of ?funato, Japan",1.4981,1.4830,0.0151,1.4925,1.4925,0.0000,12
2012-11-07 16:35:46.930000,7.4,"33 km S of Champerico, Guatemala",1.4564,1.4973,-0.0409,1.4756,1.5000,-0.0244,10
2012-10-28 03:04:08.820000,7.8,"206 km SW of Prince Rupert, Canada",1.4958,1.4973,-0.0015,1.4958,1.4756,0.0202,9
2012-09-30 16:31:35.970000,7.3,"11 km WNW of San Agustín, Colombia",1.4981,1.4925,0.0056,1.4830,1.4981,-0.0151,12
2012-09-05 14:42:07.800000,7.6,"11 km ENE of Hojancha, Costa Rica",1.4973,1.4756,0.0217,1.4892,1.4892,0.0000,10
2012-08-31 12:47:33.380000,7.6,"89 km E of Sulangan, Philippines",1.4617,1.4892,-0.0274,1.4958,1.5000,-0.0042,9
2012-08-27 04:37:19.430000,7.3,"126 km S of Puerto El Triunfo, El Salvador",1.4564,1.4973,-0.0409,1.4564,1.4756,-0.0191,10
2012-08-14 02:59:38.460000,7.7,"156 km ENE of Poronaysk, Russia",1.4527,1.4698,-0.0171,1.4925,1.4925,0.0000,12
2012-04-12 07:15:48.500000,7.0,"69 km ENE of San Luis, Mexico",1.4317,1.4981,-0.0665,1.4756,1.4925,-0.0169,11
2012-04-11 10:43:10.850000,8.2,2012 Wharton Basin Aftershock,1.5000,1.4945,0.0055,1.5000,1.5000,0.0000,13
2012-04-11 08:38:36.720000,8.6,2012 Wharton Basin Earthquake,1.4973,1.5000,-0.0027,1.5000,1.4973,0.0027,10
