time,mag,lat,lon,depth,place
2013-11-17 09:04,7.7,-60.2738,-46.4011,10.0,Scotia Sea
2013-10-25 17:10,7.1,37.1557,144.6611,35.0,"off the east coast of Honshu, Japan"
2013-10-15 00:12,7.1,9.8796,124.1167,19.04,"4 km SE of Sagbayan, Philippines"
2013-09-25 16:42,7.1,-15.8385,-74.5112,40.0,"16 km WSW of Atiquipa, Peru"
2013-09-24 11:29,7.7,26.951,65.5009,15.0,"113 km NW of Bela, Pakistan"
2013-08-30 16:25,7.0,51.537,-175.2297,29.0,"101 km SW of Atka, Alaska"
2013-07-15 14:03,7.3,-60.857,-25.07,11.0,South Sandwich Islands region
2013-07-07 18:35,7.3,-3.917,153.927,385.5,"190 km ENE of Kokopo, Papua New Guinea"
2013-05-24 05:44,8.3,54.892,153.221,598.1,2013 Sea of Okhotsk Earthquake
2013-05-23 17:19,7.4,-23.009,-177.232,173.7,"292 km SW of Vaini, Tonga"
2013-04-19 03:05,7.2,46.221,150.788,110.0,"252 km ENE of Kuril’sk, Russia"
2013-04-16 10:44,7.7,28.033,61.996,80.0,"79 km ESE of Kh?sh, Iran"
2013-04-06 04:42,7.0,-3.517,138.476,66.0,"260 km WSW of Abepura, Indonesia"
2013-02-08 15:26,7.1,-10.928,166.018,21.0,"32 km SE of Lata, Solomon Islands"
2013-02-06 01:54,7.0,-10.499,165.588,8.8,"33 km NW of Lata, Solomon Islands"
2013-02-06 01:23,7.1,-11.183,164.882,10.0,"112 km WSW of Lata, Solomon Islands"
2013-02-06 01:12,8.0,-10.799,165.114,24.0,2013 Santa Cruz Islands Earthquake
2013-01-05 08:58,7.5,55.228,-134.8591,8.7,"110 km SW of Edna Bay, Alaska"
2012-12-10 16:53,7.1,-6.533,129.825,155.0,Banda Sea
2012-12-07 08:18,7.3,37.89,143.949,31.0,"234 km SE of ?funato, Japan"
2012-11-07 16:35,7.4,13.988,-91.895,24.0,"33 km S of Champerico, Guatemala"
2012-10-28 03:04,7.8,52.788,-132.101,14.0,"206 km SW of Prince Rupert, Canada"
2012-09-30 16:31,7.3,1.929,-76.362,170.0,"11 km WNW of San Agustín, Colombia"
2012-09-05 14:42,7.6,10.085,-85.315,35.0,"11 km ENE of Hojancha, Costa Rica"
2012-08-31 12:47,7.6,10.811,126.638,28.0,"89 km E of Sulangan, Philippines"
2012-08-27 04:37,7.3,12.139,-88.59,28.0,"126 km S of Puerto El Triunfo, El Salvador"
2012-08-14 02:59,7.7,49.8,145.064,583.2,"156 km ENE of Poronaysk, Russia"
2012-04-12 07:15,7.0,28.696,-113.104,13.0,"69 km ENE of San Luis, Mexico"
2012-04-11 10:43,8.2,0.802,92.463,25.1,2012 Wharton Basin Aftershock
2012-04-11 08:38,8.6,2.327,93.063,20.0,2012 Wharton Basin Earthquake
2012-03-25 22:37,7.1,-35.2,-72.217,40.7,"23 km NE of Constitución, Chile"
2012-03-20 18:02,7.4,16.493,-98.231,20.0,"6 km E of Santiago Llano Grande, Mexico"
2012-02-02 13:34,7.1,-17.827,167.133,23.0,"125 km W of Port-Vila, Vanuatu"
2012-01-10 18:36,7.2,2.433,93.21,19.0,off the west coast of northern Sumatra
2011-12-14 05:04,7.1,-7.551,146.809,135.0,"25 km SSE of Wau, Papua New Guinea"
2011-10-23 10:41,7.1,38.721,43.508,18.0,"27 km NNE of Van, Turkey"
2011-10-21 17:57,7.4,-28.993,-176.238,33.0,Kermadec Islands region
2011-09-15 19:31,7.3,-21.611,-179.528,644.6,Fiji region
2011-09-03 22:55,7.0,-20.671,169.716,185.1,"133 km SSE of Isangel, Vanuatu"
2011-08-24 17:46,7.0,-7.641,-74.525,147.0,"64 km ESE of Contamana, Peru"
2011-08-20 18:19,7.1,-18.311,168.218,28.0,"64 km S of Port-Vila, Vanuatu"
2011-08-20 16:55,7.2,-18.365,168.143,32.0,"71 km SSW of Port-Vila, Vanuatu"
2011-07-10 00:57,7.0,38.034,143.264,23.0,"177 km ESE of Ishinomaki, Japan"
2011-07-06 19:03,7.6,-29.539,-176.34,17.0,Kermadec Islands region
2011-06-24 03:09,7.3,52.05,-171.836,52.0,"Fox Islands, Aleutian Islands, Alaska"
2011-04-07 14:32,7.1,38.276,141.588,42.0,"29 km ESE of Ishinomaki, Japan"
2011-03-11 06:25,7.7,38.058,144.59,18.6,"272 km ESE of Kamaishi, Japan"
2011-03-11 06:15,7.9,36.281,141.111,42.6,"47 km E of ?arai, Japan"
2011-03-11 05:46,9.1,38.297,142.373,29.0,"2011 Great Tohoku Earthquake, Japan"
2011-03-09 02:45,7.3,38.435,142.842,32.0,"120 km SE of ?funato, Japan"
2011-01-18 20:23,7.2,28.777,63.951,68.0,"46 km WSW of Dalbandin, Pakistan"
2011-01-13 16:16,7.0,-20.628,168.471,9.0,"118 km NNE of Tadine, New Caledonia"
2011-01-02 20:20,7.2,-38.355,-73.326,24.0,"42 km NNW of Carahue, Chile"
2011-01-01 09:56,7.0,-26.803,-63.136,576.8,"26 km NNE of El Hoyo, Argentina"
2010-12-25 13:16,7.3,-19.702,167.947,16.0,"141 km W of Isangel, Vanuatu"
2010-12-21 17:19,7.4,26.901,143.698,14.0,"Bonin Islands, Japan region"
2010-10-25 14:42,7.8,-3.487,100.082,20.1,"215 km SW of Sungai Penuh, Indonesia"
2010-09-29 17:11,7.0,-4.963,133.76,26.0,"Near the south coast of Papua, Indonesia"
2010-09-03 16:35,7.0,-43.522,171.83,12.0,"19 km NE of Methven, New Zealand"
2010-08-12 11:54,7.1,-1.266,-77.306,206.7,Ecuador
2010-08-10 05:23,7.3,-17.541,168.069,25.0,"33 km NW of Port-Vila, Vanuatu"
2010-08-04 22:01,7.0,-5.746,150.765,44.0,"72 km ESE of Kimbe, Papua New Guinea"
2010-07-23 23:15,7.5,6.776,123.259,640.6,"72 km S of Panubigan, Philippines"
2010-07-23 22:51,7.6,6.497,123.48,578.0,"61 km W of Bantogon, Philippines"
2010-07-23 22:08,7.3,6.718,123.409,607.1,"68 km W of Gadung, Philippines"
2010-07-18 13:34,7.3,-5.931,150.59,35.0,"New Britain region, Papua New Guinea"
2010-06-16 03:16,7.0,-2.174,136.543,18.0,"121 km SSE of Biak, Indonesia"
2010-06-12 19:26,7.5,7.881,91.936,35.0,"Nicobar Islands, India region"
2010-05-27 17:14,7.2,-13.698,166.643,31.0,"100 km WNW of Sola, Vanuatu"
