time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-05-12T17:07:52.470Z,31.147,103.593,20.3,4.5,mb,18,128.9,,0.91,us,usp000g6cd,2014-11-07T01:35:58.953Z,"37 km WNW of Tianpeng, China",earthquake,,28.7,,2,reviewed,us,us
2008-05-12T17:03:13.100Z,31.101,103.583,28.1,4.8,mb,83,51.6,,0.77,us,usp000g6cc,2014-11-07T01:35:58.945Z,"36 km WNW of Tianpeng, China",earthquake,,10.1,,36,reviewed,us,us
2008-05-12T17:01:45.720Z,30.806,103.502,10,4,mb,11,166.2,,0.68,us,usp000g6ca,2014-11-07T01:35:58.941Z,"43 km N of Linqiong, China",earthquake,,,,1,reviewed,us,us
2008-05-12T17:01:06.670Z,32.642,105.408,14.8,4.1,mb,19,130.3,,0.83,us,usp000g6c9,2014-11-07T01:35:58.939Z,"44 km WNW of Guangyuan, China",earthquake,,32.2,,3,reviewed,us,us
2008-05-12T16:59:11.330Z,30.83,103.203,10,4,mb,9,172.7,,1.22,us,usp000g6c8,2014-11-07T01:35:58.938Z,"52 km NNW of Linqiong, China",earthquake,,,,2,reviewed,us,us
2008-05-12T16:52:55.160Z,31.177,103.797,10,4.2,mb,18,129,,1.16,us,usp000g6c7,2014-11-07T01:35:58.936Z,"25 km NNW of Tianpeng, China",earthquake,,,,4,reviewed,us,us
2008-05-12T16:52:17.560Z,31.022,104.377,10,4.2,mb,7,170,,0.47,us,usp000g6c6,2014-11-07T01:35:58.935Z,"12 km S of Deyang, China",earthquake,,,,1,reviewed,us,us
2008-05-12T16:50:10.750Z,31.227,103.652,10,4.2,mb,17,128.9,,1.2,us,usp000g6c5,2014-11-07T01:35:58.933Z,"38 km NW of Tianpeng, China",earthquake,,,,6,reviewed,us,us
2008-05-12T16:46:13.260Z,32.279,105.897,10,4.2,mb,7,176.9,,0.39,us,usp000g6c4,2014-11-07T01:35:58.932Z,"19 km SSE of Guangyuan, China",earthquake,,,,1,reviewed,us,us
2008-05-12T16:44:08.590Z,31.743,104.48,10,4,mb,17,129.6,,0.6,us,usp000g6c3,2014-11-07T01:35:58.929Z,"22 km W of Jiangyou, China",earthquake,,,,2,reviewed,us,us
